weight,variant,system,view,group,denominator,candidate_count_min,candidate_count_median,candidate_count_max,card_hit_at_3,hit_at_3,recall_at_5,mrr_at_5,ndcg_at_5
vector_0.4_bm25_0.6,leaf_available_from_top50,gte,answer_bearing_raw,numeric,10,35,37.0,42,0.9,0.9,0.5276190476190477,0.8533333333333333,0.6417701067345718
vector_0.4_bm25_0.6,leaf_available_from_top50,gte,answer_bearing_raw,semantic,10,34,36.0,38,0.9,0.9,0.4644191919191919,0.8533333333333333,0.6058627874401193
vector_0.4_bm25_0.6,leaf_available_from_top50,gte,strict_exact_doc_dedup,evidence,20,34,37.0,42,0.9,0.85,0.8,0.7041666666666667,0.7036291098529945
vector_0.4_bm25_0.6,leaf_available_from_top50,gte,strict_exact_doc_dedup,numeric,10,35,37.0,42,0.9,0.9,0.8,0.5833333333333333,0.6345021976187091
vector_0.4_bm25_0.6,leaf_available_from_top50,gte,strict_exact_doc_dedup,semantic,10,34,36.0,38,0.9,0.8,0.8,0.825,0.7727560220872804
vector_0.4_bm25_0.6,leaf_available_from_top50,gte,answer_bearing_exact_doc_dedup,evidence,20,34,37.0,42,0.9,0.95,0.4921031746031746,0.8683333333333334,0.5944558194100142
vector_0.4_bm25_0.6,leaf_available_from_top50,gte,answer_bearing_exact_doc_dedup,numeric,10,35,37.0,42,0.9,1.0,0.5283333333333333,0.8833333333333334,0.6145481398503774
vector_0.4_bm25_0.6,leaf_available_from_top50,gte,answer_bearing_exact_doc_dedup,semantic,10,34,36.0,38,0.9,0.9,0.45587301587301593,0.8533333333333333,0.5743634989696507
vector_0.4_bm25_0.6,leaf_available_from_top50,gte,answer_bearing_gold_family_oracle,evidence,20,34,37.0,42,0.9,0.9,1.0,0.8533333333333333,0.8886852807234542
vector_0.4_bm25_0.6,leaf_available_from_top50,gte,answer_bearing_gold_family_oracle,numeric,10,35,37.0,42,0.9,0.9,1.0,0.8533333333333333,0.8886852807234542
vector_0.4_bm25_0.6,leaf_available_from_top50,gte,answer_bearing_gold_family_oracle,semantic,10,34,36.0,38,0.9,0.9,1.0,0.8533333333333333,0.8886852807234542
vector_0.5_bm25_0.5,leaf_only_top20,no_reranker,strict_raw,evidence,20,20,20.0,20,0.9,0.8,0.75,0.6458333333333334,0.647036372076991
vector_0.5_bm25_0.5,leaf_only_top20,no_reranker,strict_raw,numeric,10,20,20.0,20,1.0,0.9,0.8,0.7333333333333333,0.7108226215441585
vector_0.5_bm25_0.5,leaf_only_top20,no_reranker,strict_raw,semantic,10,20,20.0,20,0.8,0.7,0.7,0.5583333333333333,0.5832501226098235
vector_0.5_bm25_0.5,leaf_only_top20,no_reranker,answer_bearing_raw,evidence,20,20,20.0,20,0.9,0.9,0.5128463203463203,0.8875,0.6597086406506266
vector_0.5_bm25_0.5,leaf_only_top20,no_reranker,answer_bearing_raw,numeric,10,20,20.0,20,1.0,1.0,0.5419047619047619,0.95,0.6835487625195793
vector_0.5_bm25_0.5,leaf_only_top20,no_reranker,answer_bearing_raw,semantic,10,20,20.0,20,0.8,0.8,0.48378787878787877,0.825,0.6358685187816742
vector_0.5_bm25_0.5,leaf_only_top20,no_reranker,strict_exact_doc_dedup,evidence,20,20,20.0,20,0.9,0.8,0.75,0.6958333333333334,0.6835971402197305
vector_0.5_bm25_0.5,leaf_only_top20,no_reranker,strict_exact_doc_dedup,numeric,10,20,20.0,20,1.0,0.9,0.8,0.7833333333333333,0.7470371331867833
vector_0.5_bm25_0.5,leaf_only_top20,no_reranker,strict_exact_doc_dedup,semantic,10,20,20.0,20,0.8,0.7,0.7,0.6083333333333333,0.6201571472526778
vector_0.5_bm25_0.5,leaf_only_top20,no_reranker,answer_bearing_exact_doc_dedup,evidence,20,20,20.0,20,0.9,0.9,0.506765873015873,0.8975,0.625250506736385
vector_0.5_bm25_0.5,leaf_only_top20,no_reranker,answer_bearing_exact_doc_dedup,numeric,10,20,20.0,20,1.0,1.0,0.5283333333333333,0.95,0.632786810839036
vector_0.5_bm25_0.5,leaf_only_top20,no_reranker,answer_bearing_exact_doc_dedup,semantic,10,20,20.0,20,0.8,0.8,0.4851984126984127,0.845,0.6177142026337343
vector_0.5_bm25_0.5,leaf_only_top20,no_reranker,answer_bearing_gold_family_oracle,evidence,20,20,20.0,20,0.9,0.9,0.95,0.8875,0.9030803155822426
vector_0.5_bm25_0.5,leaf_only_top20,no_reranker,answer_bearing_gold_family_oracle,numeric,10,20,20.0,20,1.0,1.0,1.0,0.95,0.9630929753571458
vector_0.5_bm25_0.5,leaf_only_top20,no_reranker,answer_bearing_gold_family_oracle,semantic,10,20,20.0,20,0.8,0.8,0.9,0.825,0.8430676558073393
vector_0.5_bm25_0.5,leaf_only_top20,gte,strict_raw,evidence,20,20,20.0,20,0.9,0.8,0.7875,0.6391666666666667,0.6543714353843766
vector_0.5_bm25_0.5,leaf_only_top20,gte,strict_raw,numeric,10,20,20.0,20,0.9,0.8,0.775,0.5033333333333333,0.5728938733243273
vector_0.5_bm25_0.5,leaf_only_top20,gte,strict_raw,semantic,10,20,20.0,20,0.9,0.8,0.8,0.775,0.7358489974444262
vector_0.5_bm25_0.5,leaf_only_top20,gte,answer_bearing_raw,evidence,20,20,20.0,20,0.9,0.9,0.4960191197691198,0.8533333333333333,0.6238164470873457
vector_0.5_bm25_0.5,leaf_only_top20,gte,answer_bearing_raw,numeric,10,20,20.0,20,0.9,0.9,0.5276190476190477,0.8533333333333333,0.6417701067345718
vector_0.5_bm25_0.5,leaf_only_top20,gte,answer_bearing_raw,semantic,10,20,20.0,20,0.9,0.9,0.4644191919191919,0.8533333333333333,0.6058627874401193
